,Tweets,len,ID,USER,userName,User Location,Language,Date,Source,Likes,Retweets,Geo,Coordinates,Place
0,"Coronavirus deaths are way down. Mortality rate is one of the lowest in the World. Our Economy is roaring back and will NOT be shut down. “Embers” or flare ups will be put out, as necessary!",190,1276363261957603328,realDonaldTrump,Donald J. Trump,"Washington, DC",,2020-06-26 03:54:49,Twitter for iPhone,199940,43196,,,
1,"COVID-19 victim's body carried in an earthmover in Andhra, caught on camera https://t.co/X62ihfOz0j",99,1276545757047222272,thenewsminute,The News Minute,Bengaluru,,2020-06-26 16:00:00,TweetDeck,5,10,,,
2,Never in the history of American politics has there ever been a presidential candidate as spineless as @JoeBiden.   His strategy is to hide until November and blame coronavirus.  Every single person knows this is about concealing his early onset symptoms.,255,1276621006774448134,RealCandaceO,Candace Owens,"New York, USA",,2020-06-26 20:59:01,Twitter for iPhone,55960,15899,,,
3,"Fam. HIV is a virus. like the Flu. like Corona. It conveys NOTHING about the worthiness, practices or “morals” of the person living with it. The HIV/AIDS pandemic reflects the failures of public health. Your HIV stigma reflects the failures of public heath education. PERIODT.",276,1276296212493119489,YoloAkili,Yolo Akili,"Los Angeles, CA",,2020-06-25 23:28:24,Twitter for iPhone,85810,22995,,,
4,"Breaking via NYT: Citing the severity of the coronavirus pandemic, a federal judge in Los Angeles has ordered the imminent release of migrant children held in the country's three family detention centers. https://t.co/vrl2W1CMQA",228,1276695506295513090,kylegriffin1,Kyle Griffin,"Manhattan, NY",,2020-06-27 01:55:03,Twitter for iPhone,19990,6258,,,
5,"“To rise high in the midst of darkness.” K-pop giant BLACKPINK (@ygofficialblink) on the message of #HowYouLikeThat, the role that fashion plays in the group’s releases and dropping music during a global pandemic https://t.co/LTnkKigZKn",236,1276442488908234754,TIME,TIME,,,2020-06-26 09:09:39,Sprinklr,63101,21308,,,
6,Donald Trump is the worst possible person to lead us through a global pandemic.,79,1276296615377145856,JoeBiden,Joe Biden,"Wilmington, DE",,2020-06-25 23:30:00,TweetDeck,342531,46251,,,
7,"You know what we do, SPREAD LOVE. 💕  BT21 X International Vaccine Institute stickers are coming. 🎉  All the proceeds will go toward children's health care &amp; development of COVID-19 vaccines! 💫  #June30 #ComingSoon #BT21 #IVI  *May not be available in some regions https://t.co/l1JFf3bMhc",291,1276425108073009154,BT21_,BT21,,,2020-06-26 08:00:35,Twitter for iPhone,69434,12212,,,
8,"COVID-19 is raging across America. We have failed to contain it. Trumps selfishness, vanity and weakness have become lethal. Because of Trump, America is suffering mass death and economic catastrophe. He has triggered a national movement of idiocy and imbecility. He has",270,1276541209511673868,SteveSchmidtSES,Steve Schmidt,"Park City,UT * Toronto,ON ",,2020-06-26 15:41:55,Twitter for iPhone,42757,12988,,,
9,"If 95% of Americans wore face masks in public, it could prevent 33,000 deaths by October 1, according to the University of Washington's Institute for Health Metrics and Evaluation https://t.co/NCzsD51xbs",203,1276367856163315713,CNN,CNN,,,2020-06-26 04:13:05,SocialFlow,24123,10450,,,
10,"Don't bothsides this pandemic. America's epic, lethal fail was driven by the fecklessness of an anti-science party that didn't want to face reality https://t.co/mYAz77G3IJ",171,1276479139013328896,paulkrugman,Paul Krugman,New York City,,2020-06-26 11:35:17,Twitter Web App,23140,8800,,,
11,"Breaking News: A federal judge ordered the release of migrant children held in U.S. family detention facilities, citing the severity of the pandemic https://t.co/0Pg8OTxMwx",172,1276694255533260800,nytimes,The New York Times,New York City,,2020-06-27 01:50:05,SocialFlow,15762,6419,,,
12,Guidance for how to apply for the COVID Summer Food Programme 👇🏾  https://t.co/samSQUcbGq  Deadline for applications is July 10th. Please share!,144,1276477569278361600,MarcusRashford,Marcus Rashford,,,2020-06-26 11:29:02,Twitter for iPhone,14901,7377,,,
13,BREAKING: Judge orders migrant children in detention centers released due to Coronavirus outbreaks.,99,1276744204451012614,ASlavitt,Andy Slavitt @ 🏡,"Edina, MN",,2020-06-27 05:08:33,Twitter for iPad,28972,4943,,,
14,Ok so @USTreasury sends more than 1-million #coronavirus stimulous payments totaling $1.4billion to DEAD people? And we are supposed to believe #MailInBallots are secure? @MorningsMaria @FoxBusiness @SundayFutures @FoxNews,222,1276492791821017088,MariaBartiromo,Maria Bartiromo,"New York, NY",,2020-06-26 12:29:32,Twitter for iPhone,17283,8150,,,
15,If I thought there were 120 million coronavirus deaths i wouldn't leave my basement either.  #JustSaying https://t.co/dMGMEbFgEq,128,1276287944161099777,cvpayne,Charles V Payne,New Jersey & New York,,2020-06-25 22:55:32,Twitter for Android,28411,9640,,,
16,To all COVID-deniers who claim that our COVID increase is from testing.  Top 10 (last 2 weeks)        Cases  Tests FL.   71%.   -12% AZ.  72%.   25% NV.  50%.  -28% OK.  53%.   125% ID.    83%.   17% SC.  169%. 43% GA.  55%.   17% UT.   39%. -10% TX.   78%.   25% KS.   48%.    7%,280,1276292709225881601,ASlavitt,Andy Slavitt @ 🏡,"Edina, MN",,2020-06-25 23:14:28,Twitter for iPad,13342,6885,,,
17,Remember when Gov. Ron DeSantis (R-FL) took a COVID victory lap? Bit premature... https://t.co/3uMhkSpYaI,105,1276294290898145282,therecount,The Recount,"New York, NY",,2020-06-25 23:20:46,Twitter Media Studio,15085,6263,,,
18,".@JoeBiden lambasts President Trump: ""He’s like a child who can’t believe this has happened to him. All his whining and self-pity. Well this pandemic didn’t happen to him. It happened to all of us. And his job isn’t to whine about it, his job is to do something about it.""",272,1276228501365035010,sarahmucha,Sarah Mucha CNN,Campaign Trail,,2020-06-25 18:59:20,Twitter Web App,49002,11694,,,
19,Biden slammed after wrongly saying ‘we have over 120 million dead from COVID’  https://t.co/qavJT0yoAD,102,1276266215556743171,SteveGuest,Steve Guest,"Washington, DC",,2020-06-25 21:29:12,Twitter Web App,40748,12193,,,
20,It’s been 104 days since the Louisville Police Department SWAT team burst into Breonna Taylor’s home and murdered her. She worked to save lives during the COVID-19 pandemic—it is time for us to honor hers by demanding justice. https://t.co/MuLZFu7f5v,250,1276261890818179074,KamalaHarris,Kamala Harris,California,,2020-06-25 21:12:01,Sprout Social,19890,6955,,,
21,"This fraud sent people infected with coronavirus into nursing homes and vulnerable PEOPLE DIED. He’s a disgrace to New York, a disgrace to the country and a disgrace to humankind. 👇🏻 https://t.co/PEBrgnfHt8",206,1276210824529444865,dbongino,Dan Bongino,"Florida, USA",,2020-06-25 17:49:06,Twitter for iPhone,24967,10779,,,
22,COVID-19 has gone down due to the efforts of everyone but is still in general circulation.  If we do not follow social distancing guidance then cases will rise again. Naturally people will want to enjoy the sun but we need to do so in a way that is safe for all.,262,1276199449858015235,CMO_England,Professor Chris Whitty,London,,2020-06-25 17:03:54,Twitter Web App,56374,17661,,,
23,Joe Biden just gave speech abt pandemic. CNN didn’t cover it live. CNN did air a 3-hr primetime special Sat night for Trump’s rally,131,1276230830965379076,EricBoehlert,Eric Boehlert,,,2020-06-25 19:08:35,Twitter for iPhone,54065,16286,,,
24,"Over 40,000 new cases of covid today! We did it!! 🇺🇲🗽",53,1276294042247065600,h3h3productions,Ethan Klein,"Los Angeles, CA",,2020-06-25 23:19:46,Twitter for Android,26248,1845,,,
25,"Joe ""30330"" Biden: ‘We Have Over 120 Million Dead from COVID’ https://t.co/3VJm1htpcr",85,1276294485895512067,seanhannity,Sean Hannity,NYC,,2020-06-25 23:21:32,SocialFlow,11641,4693,,,
